my,model_line,model_code,model_description
2026,ELANTRA,494E2F4S,4dr Sdn SE
2026,ELANTRA,494G2F4S,4dr Sdn SEL
2026,ELANTRA,494K2F4S,4dr Sdn SEL Sport Premium
2026,ELANTRA,494L2FT5,4dr Sdn N-Line
2026,ELANTRA,494M2F4S,4dr Sdn Limited
2026,ELANTRA,4N4A2FT5,4dr Sdn N DCT
2026,ELANTRA,4N4A3FT5,4dr Sdn N MT
2026,ELANTRA HYBRID,494B2FBS,4dr Sdn HEV SEL Sport
2026,ELANTRA HYBRID,494D2FBS,4dr Sdn Limited Hybrid
2026,ELANTRA_HYBRID,494C2FBS,4dr Sdn Blue Hybrid
2026,IONIQ_5_2WD,51402REZ,4dr Wgn SE (Standard Range)
2026,IONIQ_5_2WD,51412REZ,4dr Wgn SE
2026,IONIQ_5_2WD,51442REZ,4dr Wgn SEL
2026,IONIQ_5_2WD,51462REZ,4dr Wgn Limited
2026,IONIQ_5_AWD,51412AEZ,4dr Wgn SE
2026,IONIQ_5_AWD,51442AEZ,4dr Wgn SEL
2026,IONIQ_5_AWD,51452AEZ,4dr Wgn XRT
2026,IONIQ_5_AWD,51462AEZ,4dr Wgn Limited
2026,IONIQ_5_AWD,514C2AEZ,4dr Wgn XRT w/ Tow Hitch
2026,IONIQ_9_2WD,74412REZ,S RWD
2026,IONIQ_9_AWD,74432AEZ,SE AWD
2026,IONIQ_9_AWD,74452AEZ,SEL AWD
2026,IONIQ_9_AWD,74472AEZ,Performance Limited AWD
2026,IONIQ_9_AWD,74492AEZ,Performance Calligraphy AWD
2026,IONIQ_9_AWD,744A2AEZ,Performance Calligraphy Design AWD
2026,KONA_2WD,Q1402F45,4dr Wgn SE
2026,KONA_2WD,Q1412F45,SEL Sport FWD
2026,KONA_2WD,Q1422FT5,SEL Premium FWD
2026,KONA_2WD,Q1492FT5,4dr Wgn Limited
2026,KONA_AWD,Q1402A45,4dr Wgn SE
2026,KONA_AWD,Q1412A45,SEL Sport AWD
2026,KONA_AWD,Q1422AT5,SEL Premium AWD
2026,KONA_AWD,Q1492AT5,4dr Wgn Limited
2026,PALISADE_2WD,J2412F65,SE
2026,PALISADE_2WD,J2422F65,SEL Convenience
2026,PALISADE_2WD,J2432F65,SEL Premiumi 7P
2026,PALISADE_2WD,J2442F65,SEL 7P
2026,PALISADE_2WD,J2462F65,SEL 8P
2026,PALISADE_2WD,J2472F65,Limited
2026,PALISADE_2WD,J2482F65,SEL Premiumi 8P
2026,PALISADE_2WD,J2492F65,Calligraphy
2026,PALISADE_AWD,J2412A65,SE
2026,PALISADE_AWD,J2422A65,SEL Convenience
2026,PALISADE_AWD,J2432A65,SEL Premiumi 7P
2026,PALISADE_AWD,J2442A65,SEL 7P
2026,PALISADE_AWD,J2452A65,XRT PRO
2026,PALISADE_AWD,J2462A65,SEL 8P
2026,PALISADE_AWD,J2472A65,Limited
2026,PALISADE_AWD,J2482A65,SEL Premiumi 8P
2026,PALISADE_AWD,J2492A65,Calligraphy
2026,PALISADE_HYBRID,J24A2A4T,Hybrid SEL 7P
2026,PALISADE_HYBRID,J24A2F4T,Hybrid Blue SEL 7P
2026,PALISADE_HYBRID,J24B2A4T,Hybrid SEL 8 P
2026,PALISADE_HYBRID,J24B2F4T,Hybrid Blue SEL 8 P
2026,PALISADE_HYBRID,J24C2A4T,Hybrid SEL Premium 7P
2026,PALISADE_HYBRID,J24C2F4T,Hybrid Blue SEL Premium 7P
2026,PALISADE_HYBRID,J24D2A4T,Hybrid SEL Premium 8P
2026,PALISADE_HYBRID,J24D2F4T,Hybrid Blue SEL Premium 8P
2026,PALISADE_HYBRID,J24G2A4T,Hybrid Limited
2026,PALISADE_HYBRID,J24G2F4T,Hybrid Limited
2026,PALISADE_HYBRID,J24H2A4T,Hybrid Calligraphy
2026,PALISADE_HYBRID,J24H2F4T,Hybrid Calligraphy
2026,SANTA_CRUZ_2WD,90402F45,Crew Cab 2.5L SE
2026,SANTA_CRUZ_2WD,90432F45,Crew Cab 2.5L SEL
2026,SANTA_CRUZ_2WD,90492F45,Crew Cab 2.5L SEL Activity
2026,SANTA_CRUZ_AWD,90402A45,Crew Cab 2.5L SE
2026,SANTA_CRUZ_AWD,90432A45,Crew Cab 2.5L SEL
2026,SANTA_CRUZ_AWD,90462AT5,Crew Cab XRT
2026,SANTA_CRUZ_AWD,90472AT5,Crew Cab 2.5T Limited
2026,SANTA_CRUZ_AWD,90492A45,Crew Cab 2.5L SEL Activity
2026,SANTA_FE_2WD,65402FT5,4dr Wgn 2.5L SE
2026,SANTA_FE_2WD,65432FT5,4dr Wgn 2.5L SEL
2026,SANTA_FE_2WD,65492FT5,4dr Wgn 2.5T Limited
2026,SANTA_FE_2WD,654C2FT5,4dr Wgn 2.5T Calligraphy
2026,SANTA_FE_AWD,65402AT5,4dr Wgn 2.5L SE
2026,SANTA_FE_AWD,65432AT5,4dr Wgn 2.5L SEL
2026,SANTA_FE_AWD,65462AT5,4dr Wgn 2.5L XRT
2026,SANTA_FE_AWD,65492AT5,4dr Wgn 2.5T Limited
2026,SANTA_FE_AWD,654C2AT5,4dr Wgn 2.5T Calligraphy
2026,SANTA_FE_HYBRID,654E2ABS,SE Hybrid AWD
2026,SANTA_FE_HYBRID,654E2FBS,SE Hybrid FWD
2026,SANTA_FE_HYBRID,654F2ABS,4dr Wgn SEL
2026,SANTA_FE_HYBRID,654F2FBS,4dr Wgn SEL
2026,SANTA_FE_HYBRID,654J2ABS,4dr Wgn Limited
2026,SANTA_FE_HYBRID,654J2FBS,4dr Wgn Limited
2026,SANTA_FE_HYBRID,654M2ABS,4dr Wgn Calligraphy
2026,SANTA_FE_HYBRID,654M2FBS,4dr Wgn Calligraphy
2026,SONATA,29412F4S,4dr Sdn SE
2026,SONATA,29442A4S,4dr Sdn SEL
2026,SONATA,29442F4S,4dr Sdn SEL
2026,SONATA,29472FT5,4dr Sdn N Line
2026,SONATA_HYBRID,294C2FBS,HEV Blue
2026,SONATA_HYBRID,294D2FBS,4dr Sdn SEL Hybrid
2026,SONATA_HYBRID,294G2FBS,4dr Sdn Limited Hybrid
2026,TUCSON_2WD,85402F4S,4dr Wgn SE
2026,TUCSON_2WD,85432F4S,4dr Wgn SEL
2026,TUCSON_2WD,85442F4S,4dr Wgn XRT
2026,TUCSON_2WD,85462F4S,4dr Wgn SEL Convenience
2026,TUCSON_2WD,85472F4S,4dr Wgn Limited
2026,TUCSON_AWD,85402A4S,4dr Wgn SE
2026,TUCSON_AWD,85432A4S,4dr Wgn SEL
2026,TUCSON_AWD,85442A4S,4dr Wgn XRT
2026,TUCSON_AWD,85462A4S,4dr Wgn SEL Convenience
2026,TUCSON_AWD,85472A4S,4dr Wgn Limited
2026,TUCSON_HYBRID,854D2ABS,4dr Sdn SEL
2026,TUCSON_HYBRID,854E2ABS,4dr Sdn Limited
2026,TUCSON_HYBRID,854G2ABS,Hybrid Blue SE AWD
2026,TUCSON_HYBRID,854H2ABS,Hybrid SEL AWD
2026,TUCSON_PHEV,854J2APT,4dr Wgn SEL
2026,TUCSON_PHEV,854K2APT,4dr Wgn Limited
2026,VENUE,30402F45,4dr Wgn SE AT
2026,VENUE,30422F45,4dr Wgn SEL AT
2026,VENUE,30452F45,SEL w/ 2-Tone Roof
2025,ELANTRA,49452FT5,4dr Sdn N-Line
2025,ELANTRA,494E2F4S,4dr Sdn SE
2025,ELANTRA,494G2F4S,4dr Sdn SEL
2025,ELANTRA,494H2F4S,4dr Sdn SEL Convenience
2025,ELANTRA,494J2F4S,4dr Sdn Limited
2025,ELANTRA,4N4A2FT5,4dr Sdn N DCT
2025,ELANTRA,4N4A3FT5,4dr Sdn N MT
2025,ELANTRA_HYBRID,494B2FBS,4dr Sdn HEV SEL Sport
2025,ELANTRA_HYBRID,494C2FBS,4dr Sdn Blue Hybrid
2025,ELANTRA_HYBRID,494D2FBS,4dr Sdn Limited Hybrid
2025,IONIQ_5_2WD,50402REZ,4dr Wgn SE (Standard Range)
2025,IONIQ_5_2WD,50412REZ,4dr Wgn SE
2025,IONIQ_5_2WD,50442REZ,4dr Wgn SEL
2025,IONIQ_5_2WD,50462REZ,4dr Wgn Limited
2025,IONIQ_5_2WD,51402REZ,4dr Wgn SE (Standard Range)
2025,IONIQ_5_2WD,51412REZ,4dr Wgn SE
2025,IONIQ_5_2WD,51442REZ,4dr Wgn SEL
2025,IONIQ_5_2WD,51462REZ,4dr Wgn Limited
2025,IONIQ_5_AWD,50412AEZ,4dr Wgn SE
2025,IONIQ_5_AWD,50442AEZ,4dr Wgn SEL
2025,IONIQ_5_AWD,50452AEZ,4dr Wgn XRT
2025,IONIQ_5_AWD,50462AEZ,4dr Wgn Limited
2025,IONIQ_5_AWD,504C2AEZ,4dr Wgn XRT w/ Tow Hitch
2025,IONIQ_5_AWD,51412AEZ,4dr Wgn SE
2025,IONIQ_5_AWD,51442AEZ,4dr Wgn SEL
2025,IONIQ_5_AWD,51452AEZ,4dr Wgn XRT
2025,IONIQ_5_AWD,51462AEZ,4dr Wgn Limited
2025,IONIQ_5_AWD,514C2AEZ,4dr Wgn XRT w/ Tow Hitch
2025,IONIQ_5_AWD,5N4A2AEZ,4dr Wgn N
2025,IONIQ_6_2WD,A0412REZ,4dr Wgn SE
2025,IONIQ_6_2WD,A0442REZ,4dr Wgn SEL
2025,IONIQ_6_2WD,A0462REZ,4dr Wgn Limited
2025,IONIQ_6_2WD,A0492REZ,4dr Wgn SE (Standard Range)
2025,IONIQ_6_AWD,A0412AEZ,4dr Wgn SE
2025,IONIQ_6_AWD,A0442AEZ,4dr Wgn SEL
2025,IONIQ_6_AWD,A0462AEZ,4dr Wgn Limited
2025,KONA_2WD,Q1402F45,4dr Wgn SE
2025,KONA_2WD,Q1432F45,4dr Wgn SEL
2025,KONA_2WD,Q1442F45,4dr Wgn SEL Convenience
2025,KONA_2WD,Q1452FT5,4dr Wgn N Line S
2025,KONA_2WD,Q1462FT5,4dr Wgn N Line
2025,KONA_2WD,Q1492FT5,4dr Wgn Limited
2025,KONA_AWD,Q1402A45,4dr Wgn SE
2025,KONA_AWD,Q1432A45,4dr Wgn SEL
2025,KONA_AWD,Q1442A45,4dr Wgn SEL Convenience
2025,KONA_AWD,Q1452AT5,4dr Wgn N Line S
2025,KONA_AWD,Q1462AT5,4dr Wgn N Line
2025,KONA_AWD,Q1492AT5,4dr Wgn Limited
2025,KONA_EV,Q14A2FEZ,4dr Wgn SE (new)
2025,KONA_EV,Q14D2FEZ,4dr Wgn SEL
2025,KONA_EV,Q14F2FEZ,4dr Wgn N Line
2025,KONA_EV,Q14G2FEZ,4dr Wgn Limited
2025,PALISADE_2WD,J1412F65,4dr Wgn SE
2025,PALISADE_2WD,J1432F65,4dr Wgn SEL Premium
2025,PALISADE_2WD,J1442F65,4dr Wgn SEL
2025,PALISADE_2WD,J1462F65,4dr Wgn Limited
2025,PALISADE_2WD,J1472F65,4dr Wgn Calligraphy
2025,PALISADE_2WD,J1482F65,4dr Wgn XRT
2025,PALISADE_AWD,J1412A65,4dr Wgn SE
2025,PALISADE_AWD,J1432A65,4dr Wgn SEL Premium
2025,PALISADE_AWD,J1442A65,4dr Wgn SEL
2025,PALISADE_AWD,J1462A65,4dr Wgn Limited
2025,PALISADE_AWD,J1472A65,4dr Wgn Calligraphy
2025,PALISADE_AWD,J1482A65,4dr Wgn XRT
2025,PALISADE_AWD,J1492A65,4dr Wgn Calligraphy Night
2025,SANTA_CRUZ_2WD,90402F45,Crew Cab 2.5L SE
2025,SANTA_CRUZ_2WD,90432F45,Crew Cab 2.5L SEL
2025,SANTA_CRUZ_2WD,90492F45,Crew Cab 2.5L SEL Activity
2025,SANTA_CRUZ_AWD,90402A45,Crew Cab 2.5L SE
2025,SANTA_CRUZ_AWD,90432A45,Crew Cab 2.5L SEL
2025,SANTA_CRUZ_AWD,90462AT5,Crew Cab XRT
2025,SANTA_CRUZ_AWD,90472AT5,Crew Cab 2.5T Limited
2025,SANTA_CRUZ_AWD,90492A45,Crew Cab 2.5L SEL Activity
2025,SANTA_FE_2WD,65402FT5,4dr Wgn 2.5L SE
2025,SANTA_FE_2WD,65432FT5,4dr Wgn 2.5L SEL
2025,SANTA_FE_2WD,65492FT5,4dr Wgn 2.5T Limited
2025,SANTA_FE_2WD,654C2FT5,4dr Wgn 2.5T Calligraphy
2025,SANTA_FE_AWD,65402AT5,4dr Wgn 2.5L SE
2025,SANTA_FE_AWD,65432AT5,4dr Wgn 2.5L SEL
2025,SANTA_FE_AWD,65462AT5,4dr Wgn 2.5L XRT
2025,SANTA_FE_AWD,65492AT5,4dr Wgn 2.5T Limited
2025,SANTA_FE_AWD,654C2AT5,4dr Wgn 2.5T Calligraphy
2025,SANTA_FE_HYBRID,654F2ABS,4dr Wgn SEL
2025,SANTA_FE_HYBRID,654F2FBS,4dr Wgn SEL
2025,SANTA_FE_HYBRID,654J2ABS,4dr Wgn Limited
2025,SANTA_FE_HYBRID,654J2FBS,4dr Wgn Limited
2025,SANTA_FE_HYBRID,654M2ABS,4dr Wgn Calligraphy
2025,SANTA_FE_HYBRID,654M2FBS,4dr Wgn Calligraphy
2025,SONATA,29412F4S,4dr Sdn SE
2025,SONATA,29442A4S,4dr Sdn SEL
2025,SONATA,29442F4S,4dr Sdn SEL
2025,SONATA,29452F4S,4dr Sdn SEL Convenience
2025,SONATA,29472FT5,4dr Sdn N Line
2025,SONATA_HYBRID,294D2FBS,4dr Sdn SEL Hybrid
2025,SONATA_HYBRID,294G2FBS,4dr Sdn Limited Hybrid
2025,TUCSON_2WD,85402F4S,4dr Wgn SE
2025,TUCSON_2WD,85432F4S,4dr Wgn SEL
2025,TUCSON_2WD,85442F4S,4dr Wgn XRT
2025,TUCSON_2WD,85462F4S,4dr Wgn SEL Convenience
2025,TUCSON_2WD,85472F4S,4dr Wgn Limited
2025,TUCSON_AWD,85402A4S,4dr Wgn SE
2025,TUCSON_AWD,85432A4S,4dr Wgn SEL
2025,TUCSON_AWD,85442A4S,4dr Wgn XRT
2025,TUCSON_AWD,85462A4S,4dr Wgn SEL Convenience
2025,TUCSON_AWD,85472A4S,4dr Wgn Limited
2025,TUCSON_HYBRID,854C2ABS,4dr Sdn Blue
2025,TUCSON_HYBRID,854D2ABS,4dr Sdn SEL
2025,TUCSON_HYBRID,854E2ABS,4dr Sdn Limited
2025,TUCSON_HYBRID,854F2ABS,4dr Sdn N Line
2025,TUCSON_PHEV,854J2APT,4dr Wgn SEL
2025,TUCSON_PHEV,854K2APT,4dr Wgn Limited
2025,VENUE,30402F45,4dr Wgn SE AT
2025,VENUE,30422F45,4dr Wgn SEL AT
2025,VENUE,30442F45,4dr Wgn Limited
2024,ELANTRA,49452FT5,4dr Sdn N-Line
2024,ELANTRA,494C2FBS,4dr Sdn Blue Hybrid
2024,ELANTRA,494D2FBS,4dr Sdn Limited Hybrid
2024,ELANTRA,494E2F4S,4dr Sdn SE
2024,ELANTRA,494G2F4S,4dr Sdn SEL
2024,ELANTRA,494J2F4S,4dr Sdn Limited
2024,ELANTRA,4N4A2FT5,4dr Sdn N DCT
2024,ELANTRA,4N4A3FT5,4dr Sdn N MT
2024,IONIQ_5_2WD,50402REZ,4dr Wgn SE (Standard Range)
2024,IONIQ_5_2WD,50412REZ,4dr Wgn SE
2024,IONIQ_5_2WD,50442REZ,4dr Wgn SEL
2024,IONIQ_5_2WD,50462REZ,4dr Wgn Limited
2024,IONIQ_5_AWD,50412AEZ,4dr Wgn SE
2024,IONIQ_5_AWD,50442AEZ,4dr Wgn SEL
2024,IONIQ_5_AWD,50462AEZ,4dr Wgn Limited
2024,IONIQ_6_2WD,A0412REZ,4dr Wgn SE
2024,IONIQ_6_2WD,A0442REZ,4dr Wgn SEL
2024,IONIQ_6_2WD,A0462REZ,4dr Wgn Limited
2024,IONIQ_6_2WD,A0492REZ,4dr Wgn SE (Standard Range)
2024,IONIQ_6_AWD,A0412AEZ,4dr Wgn SE
2024,IONIQ_6_AWD,A0442AEZ,4dr Wgn SEL
2024,IONIQ_6_AWD,A0462AEZ,4dr Wgn Limited
2024,KONA_2WD,Q1402F45,4dr Wgn SE
2024,KONA_2WD,Q1432F45,4dr Wgn SEL
2024,KONA_2WD,Q1462FT5,4dr Wgn N Line
2024,KONA_2WD,Q1492FT5,4dr Wgn Limited
2024,KONA_AWD,Q1402A45,4dr Wgn SE
2024,KONA_AWD,Q1432A45,4dr Wgn SEL
2024,KONA_AWD,Q1462AT5,4dr Wgn N Line
2024,KONA_AWD,Q1492AT5,4dr Wgn Limited
2024,KONA_EV,Q14A2FEZ,4dr Wgn SE (new)
2024,KONA_EV,Q14D2FEZ,4dr Wgn SEL
2024,KONA_EV,Q14G2FEZ,4dr Wgn Limited
2024,PALISADE_2WD,J1412F65,4dr Wgn SE
2024,PALISADE_2WD,J1442F65,4dr Wgn SEL
2024,PALISADE_2WD,J1462F65,4dr Wgn Limited
2024,PALISADE_2WD,J1472F65,4dr Wgn Calligraphy
2024,PALISADE_2WD,J1482F65,4dr Wgn XRT
2024,PALISADE_AWD,J1412A65,4dr Wgn SE
2024,PALISADE_AWD,J1442A65,4dr Wgn SEL
2024,PALISADE_AWD,J1462A65,4dr Wgn Limited
2024,PALISADE_AWD,J1472A65,4dr Wgn Calligraphy
2024,PALISADE_AWD,J1482A65,4dr Wgn XRT
2024,PALISADE_AWD,J1492A65,4dr Wgn Calligraphy Night
2024,SANTA_CRUZ_2WD,90402F45,Crew Cab 2.5L SE
2024,SANTA_CRUZ_2WD,90432F45,Crew Cab 2.5L SEL
2024,SANTA_CRUZ_AWD,90402A45,Crew Cab 2.5L SE
2024,SANTA_CRUZ_AWD,90432A45,Crew Cab 2.5L SEL
2024,SANTA_CRUZ_AWD,90442AT5,Crew Cab 2.5L Night
2024,SANTA_CRUZ_AWD,90462AT5,Crew Cab XRT
2024,SANTA_CRUZ_AWD,90472AT5,Crew Cab 2.5T Limited
2024,SANTA_FE_2WD,65402FT5,4dr Wgn 2.5L SE
2024,SANTA_FE_2WD,65432FT5,4dr Wgn 2.5L SEL
2024,SANTA_FE_2WD,65492FT5,4dr Wgn 2.5T Limited
2024,SANTA_FE_2WD,654C2FT5,4dr Wgn 2.5T Calligraphy
2024,SANTA_FE_AWD,65402AT5,4dr Wgn 2.5L SE
2024,SANTA_FE_AWD,65432AT5,4dr Wgn 2.5L SEL
2024,SANTA_FE_AWD,65462AT5,4dr Wgn 2.5L XRT
2024,SANTA_FE_AWD,65492AT5,4dr Wgn 2.5T Limited
2024,SANTA_FE_AWD,654C2AT5,4dr Wgn 2.5T Calligraphy
2024,SANTA_FE_HYBRID,654F2ABS,4dr Wgn SEL
2024,SANTA_FE_HYBRID,654F2FBS,4dr Wgn SEL
2024,SANTA_FE_HYBRID,654J2ABS,4dr Wgn Limited
2024,SANTA_FE_HYBRID,654J2FBS,4dr Wgn Limited
2024,SANTA_FE_HYBRID,654M2ABS,4dr Wgn Calligraphy
2024,SANTA_FE_HYBRID,654M2FBS,4dr Wgn Calligraphy
2024,SONATA,29442A4S,4dr Sdn SEL
2024,SONATA,29442F4S,4dr Sdn SEL
2024,SONATA,29472FT5,4dr Sdn N Line
2024,SONATA_HYBRID,294D2FBS,4dr Sdn SEL Hybrid
2024,SONATA_HYBRID,294G2FBS,4dr Sdn Limited Hybrid
2024,TUCSON_2WD,85442F4S,4dr Wgn XRT
2024,TUCSON_2WD,85472F4S,4dr Wgn Limited
2024,TUCSON_AWD,85442A4S,4dr Wgn XRT
2024,TUCSON_AWD,85472A4S,4dr Wgn Limited
2024,TUCSON_HYBRID,854C2ABS,4dr Sdn Blue
2024,TUCSON_HYBRID,854D2ABS,4dr Sdn SEL
2024,TUCSON_HYBRID,854E2ABS,4dr Sdn Limited
2024,TUCSON_HYBRID,854F2ABS,4dr Sdn N Line
2024,TUCSON_PHEV,854J2APT,4dr Wgn SEL
2024,TUCSON_PHEV,854K2APT,4dr Wgn Limited
2024,VENUE,30402F45,4dr Wgn SE AT
2024,VENUE,30422F45,4dr Wgn SEL AT
2024,VENUE,30442F45,4dr Wgn Limited
