vin_number,stock_number,vehicle_status,my,model_code,color,msrp,cost
KMHRC8A35TU426894,H7342,DS - Dealer Stock,2026,30422F45,GREEN,"        $25,115","        $24,517"
KMHLW4DK6SU030156,,DS - Dealer Stock,2025,4N4A3FT5,BLUE,"        $36,260","        $35,142"
KMHLP4DGXSU941714,H7113,DS - Dealer Stock,2025,494J2F4S,RED,"        $28,630","        $27,639"
KMHLN4DJ7SU176141,H7250,DS - Dealer Stock,2025,494D2FBS,SILVER,"        $31,655","        $30,723"
KMHLN4DJ0SU179222,h7308,DS - Dealer Stock,2025,494D2FBS,BLUE,"        $31,725","        $30,785"
KMHLM4DJ4SU177931,H7276,DS - Dealer Stock,2025,494C2FBS,SILVER,"        $27,305","        $26,521"
KMHLM4DG8SU090067,H7300,DS - Dealer Stock,2025,494G2F4S,WHITE,"        $25,620","        $24,751"
KMHLM4DG4SU090678,H7299,DS - Dealer Stock,2025,494G2F4S,GRAY,"        $25,105","        $24,256"
KMHLM4DG4SU073010,H7273,DS - Dealer Stock,2025,494G2F4S,SILVER,"        $25,135","        $24,282"
KMHLL4DG6SU093231,H7307,DS - Dealer Stock,2025,494E2F4S,BLACK,"        $24,040","        $23,451"
KMHLL4DG6SU072055,H7284,DS - Dealer Stock,2025,494E2F4S,RED,"        $24,495","        $23,891"
KMHLL4DG5SU032520,H7232,DS - Dealer Stock,2025,494E2F4S,RED,"        $24,440","        $23,831"
KMHLL4DG4SU093129,H7306,DS - Dealer Stock,2025,494E2F4S,SILVER,"        $24,040","        $23,451"
KMHLL4DG3SU093445,H7351,DS - Dealer Stock,2025,494E2F4S,WHITE,"        $24,540","        $23,931"
KMHLL4DG3SU093056,H7305,DS - Dealer Stock,2025,494E2F4S,GRAY,"        $23,995","        $23,411"
KMHL64JA7TA545729,,DS - Dealer Stock,2026,29442A4S,BLUE,"        $32,355","        $30,906"
KMHL54JJ4SA131647,H7327,DS - Dealer Stock,2025,294G2FBS,BLUE,"        $39,495","        $38,300"
KMHL34JJ8SA108443,H7028,DS - Dealer Stock,2025,294D2FBS,WHITE,"        $33,180","        $32,180"
KMHL34JJ0SA126760,H7218,DS - Dealer Stock,2025,294D2FBS,RED,"        $33,748","        $32,727"
KMHL24JA0SA511464,H7283,DS - Dealer Stock,2025,29412F4S,SILVER,"        $28,730","        $27,458"
KM8RNES20TU073785,,IT - In Transit (Truck),2026,J2432A65,WHITE,"        $50,600","        $48,460"
KM8RMESAXTU030128,H7337,DS - Dealer Stock,2026,J24H2A4T,WHITE,"        $61,395","        $59,464"
KM8RMESA9TU037104,H7361,DS - Dealer Stock,2026,J24H2A4T,GRAY,"        $60,895","        $58,986"
KM8RMESA8TU027423,,DS - Dealer Stock,2026,J24H2A4T,BLACK,"        $60,395","        $58,503"
KM8RMESA5TU034569,H7360,DS - Dealer Stock,2026,J24H2A4T,BLACK,"        $60,895","        $58,986"
KM8RMESA0TU030171,H7332,DS - Dealer Stock,2026,J24H2A4T,BRASS,"        $61,580","        $59,624"
KM8RMES29TU070970,,DS - Dealer Stock,2026,J2492A65,BRASS,"        $59,655","        $57,161"
KM8RMES27TU065542,,DS - Dealer Stock,2026,J2492A65,SILVER,"        $58,790","        $56,319"
KM8RMES22TU060555,H7350,DS - Dealer Stock,2026,J2492A65,BLACK,"        $58,770","        $56,307"
KM8RMES21TU065455,,DS - Dealer Stock,2026,J2492A65,GRAY,"        $58,950","        $56,458"
KM8RJES29TU033720,H7269,DS - Dealer Stock,2026,J2452A65,BLUE,"        $51,520","        $49,374"
KM8RJES24TU048335,H7289,DS - Dealer Stock,2026,J2452A65,WHITE,"        $52,030","        $49,850"
KM8RHESA1TU041832,,DS - Dealer Stock,2026,J24D2A4T,WHITE,"        $52,765","        $51,075"
KM8R7DGE9SU943085,H7209,DS - Dealer Stock,2025,J1492A65,BLACK,"        $56,840","        $54,433"
KM8JEDD14TU409935,H7346,DS - Dealer Stock,2026,854E2ABS,BLUE,"        $44,470","        $43,074"
KM8JEDD11TU411433,,DS - Dealer Stock,2026,854E2ABS,WHITE,"        $44,820","        $43,421"
KM8JEDD10TU406563,,DS - Dealer Stock,2026,854E2ABS,SILVER,"        $44,470","        $43,074"
KM8JBDD1XSU385437,H7257,DS - Dealer Stock,2025,854C2ABS,BRONZE,"        $36,080","        $34,972"
KM8JBDD17SU383810,H7256,DS - Dealer Stock,2025,854C2ABS,RED,"        $36,215","        $35,120"
KM8JBDD14SU384428,H7253,DS - Dealer Stock,2025,854C2ABS,WHITE,"        $36,580","        $35,449"
KM8JBDD13SU384680,H7251,DS - Dealer Stock,2025,854C2ABS,BLACK,"        $36,080","        $34,969"
KM8HFCAB9TU359553,H7275,DS - Dealer Stock,2026,Q1412A45,WHITE,"        $30,520","        $29,320"
KM8HFCAB4TU383789,,DS - Dealer Stock,2026,Q1412A45,WHITE,"        $30,470","        $29,311"
KM8HFCAB4TU344006,H7264,DS - Dealer Stock,2026,Q1412A45,RED,"        $30,830","        $29,632"
KM8HECA30TU386877,H7341,DS - Dealer Stock,2026,Q1492AT5,RED,"        $37,000","        $35,524"
KM8HDCA31TU391105,H7356,DS - Dealer Stock,2026,Q1422AT5,BLUE,"        $32,360","        $31,119"
KM8HBCAB1SU238400,H7106,DS - Dealer Stock,2025,Q1432A45,ORANGE,"        $29,900","        $28,748"
KM8HACABXTU382502,,DS - Dealer Stock,2026,Q1402A45,WHITE,"        $29,185","        $28,465"
KM8HACAB7TU391237,,DS - Dealer Stock,2026,Q1402A45,BLACK,"        $29,150","        $28,429"
KM8HACAB6TU391228,,DS - Dealer Stock,2026,Q1402A45,BLACK,"        $29,175","        $28,453"
KM8HACAB6TU382433,,DS - Dealer Stock,2026,Q1402A45,GRAY,"        $29,160","        $28,438"
KM8HACAB4TU369941,H7298,DS - Dealer Stock,2026,Q1402A45,BLUE,"        $28,800","        $28,109"
KM8HACAB0TU392035,,DS - Dealer Stock,2026,Q1402A45,WHITE,"        $29,175","        $28,453"
7YAKRDDC0TY044301,,IR - In Transit (Rail),2026,51462AEZ,GRAY,"        $51,735","        $51,711"
5NTJEDDFXTH164814,H7377,DS - Dealer Stock,2026,90472AT5,WHITE,"        $46,570","        $44,804"
5NTJEDDF9TH166800,,IR - In Transit (Rail),2026,90472AT5,BLACK,"        $45,935","        $44,216"
5NTJEDDF3TH164797,H7380,DS - Dealer Stock,2026,90472AT5,GRAY,"        $46,555","        $44,791"
5NTJEDDF0TH168838,,VA - VPC Allocated,2026,90472AT5,BLUE,"        $46,815","        $45,085"
5NTJDDDF1TH168379,,IR - In Transit (Rail),2026,90462AT5,GRAY,"        $43,920","        $42,254"
5NTJCDDE9SH143805,H7190,DS - Dealer Stock,2025,90492A45,GRAY,"        $36,880","        $35,567"
5NTJCDDE0SH127248,H6998,DS - Dealer Stock,2025,90492A45,GRAY,"        $36,770","        $35,449"
5NTJADDE2TH165670,,VA - VPC Allocated,2026,90402A45,BLACK,"        $33,510","        $32,780"
5NMP5DGL4TH181857,,IR - In Transit (Rail),2026,654C2AT5,GREEN,"        $52,000","        $49,670"
5NMP5DGL4TH172348,H7365,DS - Dealer Stock,2026,654C2AT5,GREEN,"        $51,800","        $49,518"
5NMP5DGL1TH179127,,IR - In Transit (Rail),2026,654C2AT5,WHITE,"        $52,275","        $49,974"
5NMP3DGL9TH174862,,DS - Dealer Stock,2026,65462AT5,GREEN,"        $44,220","        $42,308"
5NMP3DGL5TH174308,,IR - In Transit (Rail),2026,65462AT5,GRAY,"        $44,220","        $42,308"
5NMP3DGL0TH171025,,DS - Dealer Stock,2026,65462AT5,GREEN,"        $44,490","        $42,549"
5NMP3DGL0TH153169,H7266,DS - Dealer Stock,2026,65462AT5,RED,"        $44,775","        $42,821"
5NMP3DG1XTH100946,,IR - In Transit (Rail),2026,654J2ABS,WHITE,"        $50,275","        $48,658"
5NMP3DG13TH104241,,VA - VPC Allocated,2026,654J2ABS,GRAY,"        $49,475","        $47,941"
5NMP2DGL5TH150948,H7242,DS - Dealer Stock,2026,65432AT5,WHITE,"        $42,265","        $40,421"
5NMP2DGL4TH176098,,IR - In Transit (Rail),2026,65432AT5,BLUE,"        $41,570","        $39,783"
5NMP2DGL0TH174994,,DS - Dealer Stock,2026,65432AT5,GRAY,"        $41,560","        $39,775"
5NMP2DGL0TH174722,,DS - Dealer Stock,2026,65432AT5,GREEN,"        $41,560","        $39,775"
5NMP2DG1XTH085013,,DS - Dealer Stock,2026,654F2ABS,SILVER,"        $42,630","        $41,305"
5NMP2DG14TH093186,,DS - Dealer Stock,2026,654F2ABS,GRAY,"        $42,625","        $41,314"
5NMP2DG14TH085492,H7293,DS - Dealer Stock,2026,654F2ABS,BLACK,"        $42,695","        $41,366"
5NMP2DG12TH073907,H7247,DS - Dealer Stock,2026,654F2ABS,WHITE,"        $43,260","        $41,898"
5NMP2DG11TH092576,,DS - Dealer Stock,2026,654F2ABS,RED,"        $43,200","        $41,857"
5NMP2DG11TH077382,H7286,DS - Dealer Stock,2026,654F2ABS,BLUE,"        $42,660","        $41,330"
5NMP1DGL8TH175796,H7374,DS - Dealer Stock,2026,65402AT5,SILVER,"        $39,030","        $37,360"
5NMP1DGL6TH168782,,DS - Dealer Stock,2026,65402AT5,WHITE,"        $39,680","        $37,973"
5NMP1DG1XTH093308,,DS - Dealer Stock,2026,654E2ABS,SILVER,"        $40,305","        $39,073"
5NMP1DG18TH085174,,DS - Dealer Stock,2026,654E2ABS,BLACK,"        $40,295","        $39,055"
5NMP1DG17TH079060,H7271,DS - Dealer Stock,2026,654E2ABS,WHITE,"        $40,730","        $39,474"
5NMP1DG14TH087276,,DS - Dealer Stock,2026,654E2ABS,BLACK,"        $40,275","        $39,035"
5NMP1DG12TH092833,,DS - Dealer Stock,2026,654E2ABS,SILVER,"        $40,350","        $39,111"
5NMJFCDEXSH496695,H7086,DS - Dealer Stock,2025,85442A4S,SILVER,"        $36,415","        $35,119"
5NMJFCDE4TH645099,,IR - In Transit (Rail),2026,85442A4S,BLUE,"        $37,290","        $35,936"
5NMJFCDE3TH649094,,IR - In Transit (Rail),2026,85442A4S,WHITE,"        $37,610","        $36,258"
5NMJFCDE3TH644865,,DS - Dealer Stock,2026,85442A4S,WHITE,"        $37,405","        $36,072"
5NMJFCDE2TH649264,,IR - In Transit (Rail),2026,85442A4S,BLACK,"        $37,185","        $35,841"
5NMJFCDE2TH646221,,IR - In Transit (Rail),2026,85442A4S,BLACK,"        $37,005","        $35,683"
5NMJECDE9TH640080,,DS - Dealer Stock,2026,85472A4S,BLACK,"        $43,335","        $41,339"
5NMJECDE9TH622047,,DS - Dealer Stock,2026,85472A4S,SILVER,"        $43,245","        $41,232"
5NMJECDE8TH635971,,DS - Dealer Stock,2026,85472A4S,SILVER,"        $43,435","        $41,381"
5NMJECDE8TH625778,,DS - Dealer Stock,2026,85472A4S,WHITE,"        $43,835","        $41,819"
5NMJECDE5TH642960,,DS - Dealer Stock,2026,85472A4S,WHITE,"        $43,760","        $41,753"
5NMJECDE2TH639935,,DS - Dealer Stock,2026,85472A4S,GRAY,"        $43,335","        $41,339"
5NMJECDE1TH648397,,IR - In Transit (Rail),2026,85472A4S,BLACK,"        $43,255","        $41,227"
5NMJCCDE8TH649231,,IR - In Transit (Rail),2026,85462A4S,RED,"        $37,970","        $36,600"
5NMJACDE0TH643400,,IR - In Transit (Rail),2026,85402A4S,BLUE,"        $33,020","        $31,853"
3KMJCCDE2SE019756,H7165,DS - Dealer Stock,2025,85462A4S,BLACK,"        $36,485","        $35,183"
